time	current angle	xerr	yerr
2.6	1.396263402	0.03	0.03
4.03	1.335176878	0.03	0.03
5.36	1.291543646	0.03	0.03
6.71	1.274090354	0.03	0.03
8.02	1.239183769	0.03	0.03
9.32	1.204277184	0.03	0.03
10.69	1.178097245	0.03	0.03
11.96	1.160643953	0.03	0.03
13.27	1.14319066	0.03	0.03
14.55	1.117010721	0.03	0.03
15.9	1.099557429	0.03	0.03
17.19	1.090830782	0.03	0.03
18.45	1.07337749	0.03	0.03
19.74	1.047197551	0.03	0.03
21.05	1.038470905	0.03	0.03
22.32	1.015781625	0.03	0.03
23.59	0.9913470151	0.03	0.03
24.85	0.9634217471	0.03	0.03
26.11	0.9424777961	0.03	0.03
27.39	0.9162978573	0.03	0.03
28.65	0.8901179185	0.03	0.03
29.93	0.8761552845	0.03	0.03
31.2	0.8691739675	0.03	0.03
32.48	0.8639379797	0.03	0.03
33.71	0.858701992	0.03	0.03
34.98	0.8552113335	0.03	0.03
36.23	0.851720675	0.03	0.03
37.48	0.8552113335	0.03	0.03
38.73	0.8552113335	0.03	0.03
39.95	0.8464846872	0.03	0.03
41.22	0.8412486995	0.03	0.03
42.47	0.8342673825	0.03	0.03
43.69	0.8203047484	0.03	0.03
44.94	0.8063421144	0.03	0.03
46.18	0.7679448709	0.03	0.03
47.44	0.7504915784	0.03	0.03
48.68	0.7330382858	0.03	0.03
49.89	0.7243116396	0.03	0.03
51.12	0.7068583471	0.03	0.03
52.4	0.6981317008	0.03	0.03
53.65	0.6981317008	0.03	0.03
54.87	0.6981317008	0.03	0.03
56.09	0.6894050545	0.03	0.03
57.34	0.6806784083	0.03	0.03
58.56	0.671951762	0.03	0.03
59.81	0.671951762	0.03	0.03
61.01	0.671951762	0.03	0.03
62.24	0.6632251158	0.03	0.03
63.48	0.6632251158	0.03	0.03
64.73	0.6544984695	0.03	0.03
65.94	0.6457718232	0.03	0.03
67.15	0.6457718232	0.03	0.03
68.36	0.637045177	0.03	0.03
69.61	0.637045177	0.03	0.03
70.84	0.6195918845	0.03	0.03
72.06	0.6195918845	0.03	0.03
73.29	0.6108652382	0.03	0.03
74.55	0.6021385919	0.03	0.03
75.74	0.5846852994	0.03	0.03
76.95	0.5759586532	0.03	0.03
78.21	0.5672320069	0.03	0.03
79.43	0.5585053606	0.03	0.03
80.63	0.5497787144	0.03	0.03
81.85	0.5410520681	0.03	0.03
83.12	0.5410520681	0.03	0.03
84.3	0.5323254219	0.03	0.03
85.52	0.5235987756	0.03	0.03
86.73	0.5148721293	0.03	0.03
87.95	0.4974188368	0.03	0.03
89.16	0.5148721293	0.03	0.03
90.38	0.5061454831	0.03	0.03
91.58	0.4974188368	0.03	0.03
92.83	0.4974188368	0.03	0.03
94.03	0.4974188368	0.03	0.03
95.25	0.4974188368	0.03	0.03
96.45	0.4974188368	0.03	0.03
97.7	0.4974188368	0.03	0.03
98.93	0.4974188368	0.03	0.03
100.11	0.4974188368	0.03	0.03
101.31	0.4974188368	0.03	0.03
102.54	0.4974188368	0.03	0.03
103.76	0.4886921906	0.03	0.03
104.97	0.4886921906	0.03	0.03
106.21	0.4799655443	0.03	0.03
107.41	0.4799655443	0.03	0.03
108.61	0.4625122518	0.03	0.03
109.8	0.4625122518	0.03	0.03
111.06	0.4625122518	0.03	0.03
112.21	0.4625122518	0.03	0.03
113.45	0.4537856055	0.03	0.03
114.68	0.4450589593	0.03	0.03
115.88	0.4450589593	0.03	0.03
117.06	0.436332313	0.03	0.03
118.25	0.436332313	0.03	0.03
119.49	0.4276056667	0.03	0.03
120.72	0.4276056667	0.03	0.03
121.95	0.4188790205	0.03	0.03
123.13	0.4101523742	0.03	0.03
124.35	0.4101523742	0.03	0.03
125.56	0.4101523742	0.03	0.03
126.79	0.401425728	0.03	0.03
128.02	0.401425728	0.03	0.03
129.22	0.401425728	0.03	0.03
130.41	0.401425728	0.03	0.03
131.6	0.3926990817	0.03	0.03
132.84	0.3926990817	0.03	0.03
134.03	0.3926990817	0.03	0.03
135.22	0.3839724354	0.03	0.03
136.43	0.3839724354	0.03	0.03
137.63	0.3839724354	0.03	0.03
138.84	0.3839724354	0.03	0.03
140.08	0.3839724354	0.03	0.03
141.26	0.3752457892	0.03	0.03
142.51	0.3752457892	0.03	0.03
143.7	0.3752457892	0.03	0.03
144.9	0.3752457892	0.03	0.03
146.12	0.3839724354	0.03	0.03
147.31	0.3839724354	0.03	0.03
148.5	0.3752457892	0.03	0.03
149.75	0.3752457892	0.03	0.03
150.93	0.3752457892	0.03	0.03
152.14	0.3665191429	0.03	0.03
153.35	0.3665191429	0.03	0.03
154.55	0.3490658504	0.03	0.03
155.71	0.3403392041	0.03	0.03
156.94	0.3403392041	0.03	0.03
158.14	0.3403392041	0.03	0.03
159.35	0.3316125579	0.03	0.03
160.57	0.3316125579	0.03	0.03
161.77	0.3403392041	0.03	0.03
162.96	0.3141592654	0.03	0.03
164.19	0.3141592654	0.03	0.03
165.37	0.3141592654	0.03	0.03
166.61	0.3054326191	0.03	0.03
167.81	0.3054326191	0.03	0.03
169.01	0.2967059728	0.03	0.03
170.19	0.2967059728	0.03	0.03
171.39	0.2967059728	0.03	0.03
172.62	0.2879793266	0.03	0.03
173.79	0.2879793266	0.03	0.03
175.05	0.2879793266	0.03	0.03
176.24	0.2879793266	0.03	0.03
177.43	0.2879793266	0.03	0.03
178.64	0.2879793266	0.03	0.03
179.85	0.2879793266	0.03	0.03